"KeyResult","ObjectiveName","PeriodName","SquadName","Confidence","Progress","P0","C0","P1","C1","P2","C2","P3","C3","P4","C4","P5","C5","P6","C6","P7","C7","P8","C8","P9","C9","P10","C10","P11","C11","P12","C12"
"100% of Arkessa SIMs are visible and manageable in SIMPro","All Arkessa SIMs managed in Emport are represented in SIMPro","FY26.Q4","Zerogravity","0%","50%","0%","0%","0%","0%",,,"0%","85%","0%","90%","0%","90%","0%","90%","0%","90%","50%","90%","50%","90%","50%","90%","50%","90%","50%","0%"
"≥10% of Arkessa accounts log into SIMPro and complete a SIM management action","All Arkessa SIMs managed in Emport are represented in SIMPro","FY26.Q4","Zerogravity","0%","50%","0%","0%","0%","0%",,,"0%","85%","0%","90%","0%","90%","0%","90%","0%","90%","50%","93%","50%","93%","50%","93%","50%","93%","50%","0%"
"≤5% of Arkessa support tickets relate to SIMPro onboarding issues","All Arkessa SIMs managed in Emport are represented in SIMPro","FY26.Q4","Zerogravity","0%","50%","0%","0%","0%","0%",,,"0%","75%","0%","85%","0%","85%","0%","85%","0%","85%","50%","85%","50%","85%","50%","85%","50%","85%","50%","0%"
"At least one automated bill run is executed in production for evaluation within the quarter","Automated billing with caps and alerts is live for existing customers","FY26.Q4","Orion","100%","50%","0%","0%","0%","0%",,,"10%","60%","10%","60%","10%","60%","50%","100%","50%","100%","50%","100%","50%","100%","50%","100%","50%","100%","50%","100%"
"≥1 existing customer configures and triggers a cap or alert in production","Automated billing with caps and alerts is live for existing customers","FY26.Q4","Orion","70%","50%","0%","0%","0%","0%",,,"20%","80%","20%","80%","30%","80%","30%","75%","30%","75%","40%","75%","40%","75%","50%","70%","50%","70%","50%","70%"
"Primary database growth rate maintained < 20 % month-on-month","Billing data storage is optimised through compliant archiving of historical data","FY26.Q4","Interstellar","80%","83%","0%","0%","0%","0%",,,"0%","80%","22%","80%","28%","80%","50%","80%","50%","80%","58%","80%","58%","80%","66%","80%","66%","80%","83%","80%"
"100% of Conexa authentication flows use standardised, secure core access controls","Conexa services access the core through secure, scalable, and automation-ready controls","FY26.Q4","Titan","30%","20%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","20%","60%","20%","60%","20%","30%","20%","30%","20%","30%","20%","30%","20%","30%"
"SIM orders for Nokia subscribers use standard stock interfaces, with ≥3 deployable product templates","Conexa services access the core through secure, scalable, and automation-ready controls","FY26.Q4","Titan","30%","0%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","0%","65%","0%","65%","0%","30%","0%","30%","0%","30%","0%","30%","0%","30%"
"AUC subscriber profiles are automatically loaded into the core from manufacturing inputs with ≥99% processing success","Conexa services access the core through secure, scalable, and automation-ready controls","FY26.Q4","Titan","30%","21%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","21%","50%","21%","50%","21%","30%","21%","30%","21%","30%","21%","30%","21%","30%"
"100% of messaging and real-time charging mechanisms have documented integration contracts shared with integration squads","Core messaging, charging, provisioning, and IP management services are ready for scalable platform integration","FY26.Q4","Titan","85%","70%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","70%","85%","70%","85%","70%","85%","70%","85%","70%","85%","70%","85%","70%","85%"
"Core service boundaries are vendor-independent, with 100% of interaction points documented via APIs for implementation squads","Core messaging, charging, provisioning, and IP management services are ready for scalable platform integration","FY26.Q4","Titan","90%","70%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","70%","90%","70%","90%","70%","90%","70%","90%","70%","90%","70%","90%","70%","90%"
"A repeatable IP management model reduces private IP wastage by >60% across activated subscribers","Core messaging, charging, provisioning, and IP management services are ready for scalable platform integration","FY26.Q4","Titan","98%","80%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","80%","98%","80%","98%","80%","98%","80%","98%","80%","98%","80%","98%","80%","98%"
"99.5% of alerts are delivered within 10 minutes of threshold breach","Customers actively control SIM usage to prevent unexpected charges","FY26.Q4","Polaris","100%","95%","0%","0%","0%","0%",,,"0%","0%","45%","79%","45%","79%","67%","78%","67%","78%","67%","78%","67%","78%","95%","100%","95%","100%","95%","100%"
"99.5% of caps are enforced within 10 minutes of threshold breach","Customers actively control SIM usage to prevent unexpected charges","FY26.Q4","Polaris","97%","99%","0%","0%","0%","0%",,,"0%","0%","11%","71%","11%","71%","65%","77%","65%","77%","65%","77%","65%","77%","99%","97%","99%","97%","99%","97%"
"p95 rule evaluation latency is <200ms","Customers actively control SIM usage to prevent unexpected charges","FY26.Q4","Polaris","100%","100%","0%","0%","0%","0%",,,"0%","0%","67%","87%","67%","87%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"≥10 customers create a cap or alert covering multiple SIMs","Customers actively control SIM usage to prevent unexpected charges","FY26.Q4","Polaris","98%","77%","0%","0%","0%","0%",,,"0%","0%","19%","62%","19%","62%","70%","78%","70%","78%","70%","78%","70%","78%","77%","98%","77%","98%","77%","98%"
"≥20 documented components support Q4/Q1 product roadmaps","Established design standards are applied consistently across product teams","FY26.Q4","Prometheus","97%","81%","0%","0%","0%","0%",,,"0%","0%","43%","96%","65%","97%","76%","99%","76%","99%","76%","99%","81%","97%","81%","97%","81%","97%","81%","97%"
"≥10 example pages clearly demonstrate component usage and intent","Established design standards are applied consistently across product teams","FY26.Q4","Prometheus","84%","58%","0%","0%","0%","0%",,,"0%","0%","31%","70%","38%","76%","45%","71%","45%","71%","45%","71%","58%","84%","58%","84%","58%","84%","58%","84%"
"≥6 foundational design guidelines are documented and published","Established design standards are applied consistently across product teams","FY26.Q4","Prometheus","82%","25%","0%","0%","0%","0%",,,"0%","0%","5%","93%","13%","97%","18%","67%","18%","67%","18%","67%","25%","82%","25%","82%","25%","82%","25%","82%"
"100% of released components are synchronised with the Figma library","Established design standards are applied consistently across product teams","FY26.Q4","Prometheus","100%","100%","0%","0%","0%","0%",,,"0%","0%","60%","97%","73%","97%","94%","99%","94%","99%","94%","99%","100%","100%","100%","100%","100%","100%","100%","100%"
"≥2 external developers authenticate and successfully call live production APIs without Nebula support","External developers can integrate with the platform independently and in production","FY26.Q4","Nebula","85%","0%","0%","85%","0%","85%",,,"0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%"
"≥2 product squads publish and manage APIs end-to-end via the self-service workflow","External developers can integrate with the platform independently and in production","FY26.Q4","Nebula","75%","50%","0%","75%","0%","75%",,,"0%","75%","0%","75%","0%","75%","0%","75%","0%","75%","0%","75%","50%","75%","50%","75%","50%","75%","50%","75%"
"API Gateway meets Gold service criteria for availability, security, and observability","External developers can integrate with the platform independently and in production","FY26.Q4","Nebula","80%","80%","0%","80%","0%","80%",,,"0%","80%","0%","80%","0%","80%","0%","80%","0%","80%","0%","80%","0%","80%","0%","80%","80%","80%","80%","80%"
"Developer Portal meets Bronze service criteria and is primary doc source for 100% of published APIs","External developers can integrate with the platform independently and in production","FY26.Q4","Nebula","85%","80%","0%","85%","0%","85%",,,"0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","0%","85%","30%","85%","30%","85%","80%","85%","80%","85%"
"WL Benelux “Bolt” consumes Kheiron consumption data via the platform API in production","Kheiron consumption data is available through a stable, reusable platform API","FY26.Q4","Orion","100%","90%","0%","0%","0%","0%",,,"25%","100%","25%","100%","50%","100%","65%","100%","65%","100%","90%","100%","90%","100%","90%","100%","90%","100%","90%","100%"
"100% of Feb 2026 billrun complete within end of the month","Monthly billing runs are reliable and predictable, protecting revenue and tenant operations","FY26.Q4","Interstellar","90%","95%","0%","90%","0%","90%",,,"0%","90%","77%","90%","88%","90%","88%","90%","88%","90%","95%","90%","95%","90%","95%","90%","95%","90%","95%","90%"
"100% of Mar 2026 billrun complete within end of the month ","Monthly billing runs are reliable and predictable, protecting revenue and tenant operations","FY26.Q4","Interstellar","90%","100%","0%","90%","0%","90%",,,"0%","90%","0%","90%","0%","90%","33%","90%","33%","90%","50%","90%","50%","90%","100%","90%","100%","90%","100%","90%"
"100% of Apr 2026 billrun complete within end of the month","Monthly billing runs are reliable and predictable, protecting revenue and tenant operations","FY26.Q4","Interstellar","90%","40%","0%","90%","0%","90%",,,"0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","16%","90%","16%","90%","40%","90%"
"100% of Nebula-owned new services meet or exceed agreed availability SLOs for the full quarter","Nebula services are production-grade and operationally mature","FY26.Q4","Nebula","70%","100%","0%","70%","0%","70%",,,"0%","70%","40%","70%","40%","70%","50%","70%","50%","70%","50%","70%","80%","70%","100%","70%","100%","70%","100%","70%"
"100% of on-call incidents have a discoverable runbook, reviewed during incident review to support faster recovery","Nebula services are production-grade and operationally mature","FY26.Q4","Nebula","90%","100%","0%","90%","0%","90%",,,"0%","90%","40%","90%","40%","90%","60%","90%","60%","90%","60%","90%","80%","90%","100%","90%","100%","90%","100%","90%"
"Latency, error rate, and throughput SLI/SLOs are actively monitored for 100% of Nebula-owned new services","Nebula services are production-grade and operationally mature","FY26.Q4","Nebula","90%","80%","0%","90%","0%","90%",,,"0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","0%","90%","80%","90%","80%","90%","80%","90%"
"NetBridge API built and made available to at least one OpCo","NetBridge is adopted across OpCos as the standard integration platform","FY26.Q4","Supernova","65%","46%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","28%","78%","28%","78%","46%","65%","46%","65%","46%","65%","46%","65%","46%","65%"
"Soft capping capability is introduced and can be triggered against more than two MNOs","NetBridge is adopted across OpCos as the standard integration platform","FY26.Q4","Supernova","84%","86%","0%","0%","0%","0%",,,"0%","0%","0%","0%","0%","0%","37%","70%","37%","70%","86%","84%","86%","84%","86%","84%","86%","84%","86%","84%"
